Rank,NCT Number,Title,Conditions,Interventions,Sponsor/Collaborators,Phases,Enrollment,Funded Bys,Start Date,Primary Completion Date,Completion Date
313,NCT03886597,Nutritional Intervention With Table Olives in Healthy Volunteers,Healthy|Biological Availability|Nutritional Intervention|Functional Food|Nutrition Physiology,Other: Table Olives,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau|Ministerio de Economía y Competitividad (Spain) AGL 2013-41188R|University of Barcelona,Phase 1|Phase 2,58,Other,"March 25, 2019","May 25, 2019","June 15, 2019"
314,NCT03876327,Fecal Microbiota Transplantation As a Potential Treatment for Parkinson's Disease,Parkinson Disease,Procedure: fecal microbial transplantation,Soroka University Medical Center,Phase 2|Phase 3,10,Other,"August 19, 2015","December 30, 2019","June 30, 2020"
315,NCT03875937,The Trauma INtramuscular Tranexamic Acid Clinical Trial,Traumatic Haemorrhage,Drug: Tranexamic 1 gram,London School of Hygiene and Tropical Medicine|Barts & The London NHS Trust|St George's University Hospitals NHS Foundation Trust|University of Versailles|JP Moulton Charitable Foundation,Phase 1|Phase 2,31,Other,"September 17, 2019","February 12, 2020","February 12, 2020"
316,NCT03874585,Text Messaging-Based Smoking Cessation Program for Homeless Youth,Cigarette Smoking,"Behavioral: Group counseling and nicotine replacement|Behavioral: Group counseling, nicotine replacement, and text messaging support",RAND,Phase 1|Phase 2,77,Other,"May 30, 2019","May 21, 2020","May 21, 2020"
317,NCT03872453,Acute Treatment Trial in Adult Subjects With Migraines,Migraine,Drug: Zavegepant|Drug: Zavegepant matching placebo|Device: Intranasal Aptar Pharma Unit Dose System,"Biohaven Pharmaceuticals, Inc.",Phase 2|Phase 3,2154,Industry,"March 25, 2019","October 31, 2019","November 11, 2019"
318,NCT03871972,Umbilical Cord Blood Transfusion in Progeria Syndrome,Hutchinson-Gilford Progeria Syndrome,Drug: Umbilical Cord Blood Unit,Bundang CHA Hospital,Phase 1|Phase 2,2,Other,"March 5, 2019","June 1, 2020","June 1, 2020"
319,NCT03871725,Sonodynamic Therapy in the Treatment of Carotid Atherosclerosis,Carotid Atherosclerosis,Combination Product: Sonodynamic therapy (SDT),First Affiliated Hospital of Harbin Medical University,Phase 1|Phase 2,15,Other,"January 5, 2019","January 30, 2020","January 30, 2020"
320,NCT03870178,Effects of tDCS on Maximal Isometric Strength and Endurance Test of Trunk Extensors.,Healthy,Device: Transcranial direct current stimulation (tDCS),Universidade Federal do Piauí,Phase 2|Phase 3,20,Other,"January 2, 2019","November 30, 2019","April 30, 2021"
321,NCT03868241,Coated Devices to Decrease Infection in the Intensive Care Unit,Critically Ill,Device: Coated devices|Device: Control,Hospital do Coracao|Bactiguard AB,Phase 1|Phase 2,103,Other|Industry,"April 6, 2019","February 13, 2020","February 28, 2020"
322,NCT03867734,Aztreonam for Pharyngeal Gonorrhea,Gonorrhea of Pharynx|Gonorrhea,Drug: Aztreonam,University of Washington,Phase 2|Phase 3,32,Other,"April 5, 2019","September 30, 2019","September 30, 2019"
323,NCT03865394,Treatment of Chronic Wounds in Diabetic Foot Syndrome With Allogeneic Adipose Derived Mesenchymal Stem Cells,Diabetic Foot Ulcer,Biological: Application of allogeneic ADSC stem cells in fibrin gel|Procedure: Standard care in diabetic foot ulcer,Medical University of Warsaw|Polish Stem Cells Bank S.A.,Phase 1|Phase 2,46,Other,"July 1, 2019","March 31, 2021","September 30, 2021"
324,NCT03863977,Post-operative Analgesic Effects of Dexamethasone Added to Bupivacaine in Transversusabdominis Plane (TAP) Block,Postoperative Analgesia,Drug: Dexamethasone|Drug: Bupivacaine,Assiut University,Phase 2|Phase 3,90,Other,"March 15, 2019","December 1, 2019","January 1, 2020"
325,NCT03861338,An Open-Label Pilot Study of Sublocade as Treatment for Opiate Use Disorder,Opioid-use Disorder,Drug: Sublocade,New York State Psychiatric Institute,Phase 1|Phase 2,11,Other,"March 1, 2019","February 28, 2020","February 28, 2020"
326,NCT03861000,Title: Evaluation of a Novel PET Radioligand for Phosphodiesterase-4D (PDE4D),Depression,Drug: [C-11]T-1650|Drug: BPN14770,National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC),Phase 1|Phase 2,3,NIH,"March 12, 2019","February 11, 2020","February 11, 2020"
327,NCT03856164,Tranexamic Acid for Prevention of Hemorrhage in Cesarean Delivery,Post Partum Hemorrhage|Fibrinolysis; Hemorrhage|Blood Loss,Drug: Tranexamic Acid|Drug: Placebo,University of Texas Southwestern Medical Center,Phase 2|Phase 3,110,Other,"June 17, 2019","January 10, 2020","August 31, 2020"
328,NCT03840278,The Bihormonal iLet Bionic Pancreas Feasibility Study,Type 1 Diabetes Mellitus,Device: Bihormonal iLet Bionic Pancreas|Device: Insulin-only Bionic Pancreas|Drug: Dasiglucagon,"Massachusetts General Hospital|Beta Bionics, Inc.|Zealand Pharma",Phase 2|Phase 3,12,Other|Industry,"May 15, 2019","July 3, 2019","July 3, 2019"
329,NCT03838874,Mepivacaine Versus Low-Dose Bupivacaine For Primary Total Hip and Knee Arthroplasty,Knee Osteoarthritis|Hip Osteoarthritis,Drug: Low-Dose Bupivacaine|Drug: Mepivacaine,Mayo Clinic,Phase 2|Phase 3,154,Other,"February 25, 2019","October 29, 2019","October 29, 2019"
330,NCT03836781,Teh Effect of Subgingival Irrigation Wif Ketorolac and Chlorhexidine in Patients Wif Chronic Periodontist,Chronic Periodontitis,Drug: Ketorolac|Drug: Chlorhexidine 2%,"Amirhossein Farahmand|Islamic Azad University, Tehran",Phase 2|Phase 3,2,Other,"April 10, 2018","June 8, 2019","June 15, 2019"
331,NCT03833895,The Phenylephrine vs. Norepinephrine Infusion Undergoing Cesarean Section,Cesarean Section Complications,Drug: Norepinephrine|Drug: Phenylephrine|Drug: Ringer's Solution,China International Neuroscience Institution,Phase 2|Phase 3,238,Other,"February 20, 2019","September 1, 2019","September 2, 2019"
332,NCT03833388,Study of TOP1630 for Dry Eye Syndrome,Dry Eye Syndrome,Drug: TOP1630 0.1% Ophthalmic Solution TID OU|Drug: Placebo to TOP1630 0.1% Ophthalmic Solution TID OU,Topivert Pharma Ltd,Phase 2|Phase 3,202,Industry,"February 13, 2019","May 14, 2019","May 14, 2019"
333,NCT03829917,Oral Miltefosine Plus Topical Paromomycin In American Cutaneous Leishmaniasis,"Cutaneous Leishmaniasis, American",Drug: Miltefosine and Paromomycin|Drug: miltefosine|Drug: paromomycin,"Fundacion Nacional de Dermatologia|Hospital Dermatológico de Jorochito|Ministerio de Salud de Bolivia, Programa Nacional de Leishmaniasis|Alfred Berman Foundation",Phase 2|Phase 3,120,Other,"February 1, 2019","December 1, 2020","December 31, 2020"
334,NCT03829904,The Effect of Traditional Chinese Medicine on Benign Prostatic Hyperplasia,Benign Prostatic Hyperplasia,Drug: VGH-BPH1|Drug: Placebo (Corn starch pill manufactured to mimic VGH-BPH1),"Taipei Veterans General Hospital, Taiwan",Phase 1|Phase 2,23,Other,"March 6, 2019","January 2, 2020","January 2, 2020"
335,NCT03829007,PD-L1 ImagiNg to prediCt Durvalumab Treatment Response in HNSCC,Head and Neck Cancer,Diagnostic Test: PD-L1 imaging|Drug: Durvalumab,Radboud University Medical Center|AstraZeneca,Phase 1|Phase 2,33,Other|Industry,"April 15, 2019","December 17, 2020","December 9, 2021"
336,NCT03828838,Lutetium-177-PSMA-617 in Low Volume Metastatic Prostate Cancer,Prostate Neoplasm,Drug: Lu-177 PSMA-617,Radboud University Medical Center,Phase 1|Phase 2,10,Other,"July 1, 2018","November 1, 2019","November 1, 2019"
337,NCT03824587,Study to Evaluate the Efficacy of Tenapanor as Adjunctive Therapy to Phosphate Binder Therapy,Hyperphosphatemia,Drug: Tenapanor|Drug: Placebo|Drug: Phosphate Binder Agents,Ardelyx,Phase 2|Phase 3,236,Industry,"February 28, 2019","July 17, 2019","July 17, 2019"
338,NCT03820596,Sintilimab in Combination With Chidamide in Refractory and Relapsed ENKTCL,Safety and Efficacy,Drug: Sintilimab|Drug: Chidamide,Huiqiang Huang|Sun Yat-sen University,Phase 1|Phase 2,40,Other,"March 29, 2019","May 20, 2020","November 30, 2021"
339,NCT03818932,Nonopioid Analgesia After Anterior Cruciate Ligament Reconstruction,Anterior Cruciate Ligament Injury,Drug: Celecoxib|Drug: Hydrocodone-Acetaminophen|Drug: Ketorolac|Drug: Gabapentin|Drug: Acetaminophen|Drug: Diazepam,Henry Ford Health System,Phase 2|Phase 3,62,Other,"January 22, 2019","January 20, 2020","May 20, 2020"
340,NCT03814590,"A Study to Assess the Safety, Reactogenicity and Immune Response of GlaxoSmithKline (GSK) Biologicals' Investigational Respiratory Syncytial Virus (RSV) Vaccine (GSK3844766A) in Older Adults",Respiratory Syncytial Virus Infections,Biological: RSV Vaccine (GSK3844766A) unadjuvanted low dose|Biological: RSV Vaccine (GSK3844766A) low dose adjuvanted with AS01E|Biological: RSV Vaccine (GSK3844766A) low dose adjuvanted with AS01B|Biological: RSV Vaccine (GSK3844766A) unadjuvanted medium dose|Biological: RSV Vaccine (GSK3844766A) medium dose adjuvanted with AS01E|Biological: RSV Vaccine (GSK3844766A) medium dose adjuvanted with AS01B|Biological: RSV Vaccine (GSK3844766A) unadjuvanted high dose|Biological: RSV Vaccine (GSK3844766A) high dose adjuvanted with AS01E|Biological: RSV Vaccine (GSK3844766A) high dose adjuvanted with AS01B|Drug: Placebo (Saline solution),GlaxoSmithKline,Phase 1|Phase 2,1053,Industry,"January 21, 2019","December 12, 2019","November 30, 2020"
341,NCT03813602,Detection of Cannabis Impairment With an Eye Tracker,Cannabis Intoxication,Drug: Cannabis Sativa,Centre for Addiction and Mental Health,Phase 1|Phase 2,10,Other,"August 15, 2019","November 15, 2019","November 15, 2019"
342,NCT03812900,Superiority of Newly Developed Over Basic Echinacea Formulations for the Treatment of Respiratory Tract Infections,Respiratory Tract Infections,Drug: Echinacea purpurea alcoholic extract,A. Vogel AG|Cantonal Hospital of St. Gallen|Labormedizinisches Zentrum Dr. Risch,Phase 2|Phase 3,246,Industry|Other,"November 27, 2018","June 5, 2019","June 7, 2019"
343,NCT03811028,"A Study to Assess the Safety, Tolerability, and Efficacy of Long-term SOBI003 Treatment in Pediatric MPS IIIA Patients",Sanfilippo Syndrome Type A (MPS IIIA),Drug: SOBI003,Swedish Orphan Biovitrum,Phase 1|Phase 2,6,Industry,"January 19, 2019","April 30, 2021","May 7, 2021"
344,NCT03805750,Trial of Cannabis for Essential Tremor,Essential Tremor,Drug: CBD/THC|Drug: Placebo oral capsule,"University of California, San Diego|International Essential Tremor Foundation|Tilray|Center for Medicinal Cannabis Research",Phase 1|Phase 2,7,Other|Industry,"January 22, 2019","September 1, 2020","November 30, 2020"
345,NCT03805386,Patient-Directed Postoperative Opioid Prescribing for Gynecologic Surgery,Gynecology|Surgery|Opioid Use,Drug: Physician directed opioid prescribing|Drug: Patient directed opioid prescribing,Mayo Clinic,Phase 2|Phase 3,65,Other,"January 15, 2019","April 15, 2020","April 15, 2020"
346,NCT03805347,The Therapeutic Effect of Dau-Di-Wu-Gong in Patient With Ankle Fracture,Ankle Fractures,Drug: Helminthostachys zeylanica(L.)Hook|Drug: Starch,Changhua Christian Hospital,Phase 1|Phase 2,45,Other,"December 12, 2020","January 11, 2021","January 11, 2021"
347,NCT03803202,"A Single Ascending Dose Study in Adults (Stage 1) and Single Ascending Dose-Finding Study (Stage 2) in Elderly Subjects With ASP3772, A Pneumococcal Vaccine",Healthy Volunteers|Pneumococcal Disease,Biological: ASP3772|Biological: PCV13|Biological: PPSV23,"Affinivax, Inc.",Phase 1|Phase 2,630,Industry,"January 24, 2019","September 28, 2020","September 28, 2020"
348,NCT03801707,Utilization of Hepatitis C Positive Kidneys in Negative Recipients,Kidney Transplant|Hepatitis C|HCV,Drug: Sofosbuvir / Velpatasvir Oral Tablet [Epclusa]|Drug: Glecaprevir/Pibrentasvir 100 MG-40 MG Oral Tablet [MAVYRET],Ohio State University,Phase 2|Phase 3,30,Other,"March 22, 2019","April 28, 2021","April 30, 2021"
349,NCT03792750,A Study of BMS-986205 Alone and in Combination With Nivolumab in Chinese Patients With Advanced Malignant Solid Tumors,Advanced Cancer,Drug: BMS-986205|Biological: Nivolumab,Bristol-Myers Squibb,Phase 1|Phase 2,12,Industry,"December 31, 2018","December 18, 2020","December 18, 2020"
350,NCT03790033,"Efficacy and Safety of Ucha-Shinki-Hwan on Korean Patients With Cold Hypersensitivity in the Hands and Feet-Double Blinded, Randomized, Multicenter, Placebo Controlled Clinical Trial",Cold Hypersensitivity,Drug: Ucha-Shinki-Hwan|Drug: Placebo,Gachon University Gil Oriental Medical Hospital|Kyunghee University Medical Center|Kyung Hee University Hospital at Gangdong|Semyung University Affiliated Oriental Medical Hospital|Sangji University Oriental Medical Hospital,Phase 2|Phase 3,164,Other,"December 11, 2018","August 14, 2019","September 14, 2019"
351,NCT03789175,Nicotinamide Riboside on Mitochondrial Function in Li-Fraumeni Syndrome,Cancer|Skin Fibroblasts|Muscle Weakness,Dietary Supplement: Nicotinamide Riboside (NR),"National Heart, Lung, and Blood Institute (NHLBI)|National Institutes of Health Clinical Center (CC)",Phase 1|Phase 2,1,NIH,"March 25, 2019","November 1, 2019","November 1, 2019"
352,NCT03786744,Allogenic Cord Blood Transfusion in Patients With Autism,Autism Spectrum Disorder|Autism,Biological: ASD CB-MNC injection.|Other: Standard therapy.,"State-Financed Health Facility ""Samara Regional Medical Center Dinasty""",Phase 1|Phase 2,20,Other,"October 12, 2018","October 12, 2019","December 12, 2019"
353,NCT03786029,Pre-emptive Analgesic Administration in Primary Tooth Extraction,Local Anesthesia|Tooth Extraction,Drug: Acetaminophen|Drug: Placebo|Drug: Ibuprofen,Tishreen University,Phase 2|Phase 3,66,Other,"April 1, 2019","June 1, 2019","June 10, 2019"
354,NCT03778671,Dexmedetomidine Versus Fentanyl Added to Levobupivacaine for Transversus Abdominis Plane (TAP) Block,Transversus Abdominis Block,Drug: Levobupivacaine|Drug: Dexmedetomidine Injection [Precedex]|Drug: fentanyl,Assiut University,Phase 1|Phase 2,90,Other,"January 1, 2019","November 1, 2019","December 1, 2019"
355,NCT03777683,Evaluation the Effects of French Maritime Pine Bark Extract on the Clinical Status in Traumatic Brain Injury Patients,Traumatic Brain Injury,Dietary Supplement: Dietary Supplement (OLIGOPIN)|Other: Placebo,Mashhad University of Medical Sciences,Phase 1|Phase 2,67,Other,"April 14, 2019","December 22, 2019","February 20, 2020"
356,NCT03775538,Safety of CDNF by Brain Infusion in Patients With Parkinson's Disease. Extension to HP-CD-CL-2002 Clinical Study,Parkinson Disease|Movement Disorders|Neuro-Degenerative Disease|Nervous System Diseases|Brain Diseases,Drug: Cerebral Dopamine Neurotrophic Factor|Device: Renishaw Drug Delivery System,Herantis Pharma Plc.|Renishaw plc.,Phase 1|Phase 2,15,Industry|Other,"July 5, 2018","July 8, 2020","July 8, 2020"
357,NCT03774407,Vaginal Estriol in Multiple Sclerosis,Multiple Sclerosis|Neurogenic Bladder,Drug: vaginal estriol,Texas Tech University Health Sciences Center,Phase 2|Phase 3,21,Other,"June 20, 2019","November 10, 2020","November 29, 2020"
358,NCT03773276,Norepinephrine Boluses in Liver Transplantation,Living Donor Liver Transplantation|Norepinephrine Bolus|Postperfusion Syndrome,Drug: Norepinephrine boluses,Mansoura University,Phase 1|Phase 2,40,Other,"December 17, 2018","April 18, 2020","August 28, 2020"
359,NCT03772964,Effects of Metformin in a Non-Diabetic Patient Population,Inflammatory Response,Drug: MetFORMIN Hydrochloride ER|Drug: Placebo,Brian Zuckerbraun|University of Pittsburgh,Phase 1|Phase 2,32,Other,"January 22, 2019","March 31, 2020","March 31, 2020"
360,NCT03770325,A Mechanistic Randomized Controlled Trial on the Cardiovascular Effect of Berberine,Cardiovascular Risk Factor,Drug: Berberine|Drug: Placebo,"The University of Hong Kong|Food and Health Bureau, Hong Kong",Phase 2|Phase 3,84,Other,"April 1, 2019","November 1, 2020","November 1, 2020"
361,NCT03768089,Study of VX-121 in Healthy Subjects and in Subjects With Cystic Fibrosis,Cystic Fibrosis,Drug: Placebo (matched to VX-121 suspension)|Drug: VX-121 (Suspension)|Drug: TEZ/IVA|Drug: IVA|Drug: Placebo (matched to TEZ/IVA)|Drug: Placebo (matched to IVA)|Drug: VX-121 (Tablet)|Drug: Placebo (matched to VX-121 tablet),Vertex Pharmaceuticals Incorporated,Phase 1|Phase 2,115,Industry,"March 20, 2018","May 3, 2019","May 3, 2019"
362,NCT03759132,Effects of Transcranial Direct Current Stimulation on Postural Control,Parkinson Disease,Procedure: Transcranial direct current stimulation,Universidade Federal do Piauí,Phase 2|Phase 3,18,Other,"December 1, 2018","June 30, 2020","October 30, 2020"
363,NCT03752905,A Phase 1/2 Trial of PTR-01 in Adult Patients With Recessive Dystrophic Epidermolysis Bullosa (RDEB),Recessive Dystrophic Epidermolysis Bullosa,Drug: PTR-01|Drug: Normal saline,"Phoenix Tissue Repair, Inc.",Phase 1|Phase 2,12,Industry,"January 9, 2019","November 30, 2020","November 30, 2020"
364,NCT03748199,"Clinical Study to Investigate Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of POL6014 in Patients With CF",Cystic Fibrosis,Drug: POL6014|Drug: Placebo,Santhera Pharmaceuticals,Phase 1|Phase 2,32,Industry,"November 8, 2018","December 30, 2020","December 30, 2020"
365,NCT03746951,Comparative Evaluation of Lumbar Plexus and Suprainguinal Fascia Iliaca Compartment Blocks,Orthopedic Disorder,Drug: Ropivacaine Hcl 0.5% Inj Vil 20Ml,Nationwide Children's Hospital,Phase 2|Phase 3,15,Other,"April 24, 2019","January 31, 2020","January 31, 2020"
366,NCT03745586,Giant Cell Arteritis Treatment With Ultra-short Glucocorticoids and Tocilizumab,Giant Cell Arteritis,Drug: Tocilizumab|Drug: Glucocorticoids,"University Hospital Inselspital, Berne",Phase 1|Phase 2,18,Other,"December 1, 2018","November 30, 2020","March 1, 2021"
367,NCT03742518,A Study Evaluating the Efficacy and Safety of SM04554 Topical Solution in Male Subjects With Androgenetic Alopecia,Androgenetic Alopecia,Drug: Topical SM04554 solution|Drug: Topical vehicle solution,"Biosplice Therapeutics, Inc.",Phase 2|Phase 3,675,Industry,"November 1, 2018","December 31, 2020","December 31, 2020"
368,NCT03732807,PF-06651600 for the Treatment of Alopecia Areata,Alopecia Areata,Drug: PF-06651600 Induction Dose|Drug: PF-06651600 Maintenance Dose #1|Drug: PF-06651600 Maintenance Dose #2|Drug: PF-06651600 Maintenance Dose #3|Drug: Placebo,Pfizer,Phase 2|Phase 3,718,Industry,"December 3, 2018","December 31, 2020","June 24, 2021"
369,NCT03732638,Efficacy and Safety Trial of Rimegepant for Migraine Prevention in Adults,Migraine,Drug: Rimegepant|Drug: Placebo,Pfizer,Phase 2|Phase 3,1590,Industry,"November 14, 2018","December 10, 2019","February 2, 2021"
370,NCT03730714,Surgicel and Analgesic Reservoir,Postoperative Pain,"Drug: ""Local Anesthetic"", ""Epinephrine"" and ""Morphine""|Drug: ""Local Anesthetic"", ""Epinephrine"", ""Morphine"" and ""Surgicel""|Drug: ""Normal Saline""",Assiut University,Phase 2|Phase 3,90,Other,"November 15, 2018","August 12, 2020","August 12, 2020"
371,NCT03730129,Humoral Immunodeficiency in CLL and Therapy With Subcutaneous Ig,Secondary Immune Deficiency Disorder,Drug: Hizentra,Rochester General Hospital,Phase 2|Phase 3,20,Other,"November 5, 2018","July 3, 2020","July 3, 2020"
372,NCT03729479,"The MHERO Study (Michigan's Hypertension, Diabetes, and Obesity Education Research Online)",Type2 Diabetes Mellitus|Hypertension|PreDiabetes|Overweight and Obesity,"Behavioral: DASH diet|Behavioral: Very low carbohydrate, ketogenic diet|Behavioral: Extras",University of Michigan,Phase 1|Phase 2,94,Other,"November 1, 2018","August 9, 2020","August 9, 2020"
373,NCT03729128,Add-on Low Dose Dextromethorphan and Memantine in Patients With Amphetamine-type Stimulants Use Disorder,Stimulants Use Disorder,Drug: dextromethorphan and memantine (DM+MM)|Drug: Placebos,"Tzu-Yun Wang|Ministry of Science and Technology, Taiwan|National Cheng-Kung University Hospital",Phase 1|Phase 2,85,Other,"July 24, 2018","August 31, 2020","August 31, 2020"
374,NCT03728634,"Evaluate the Safety and Tolerability, as Well as the Pharmacokinetic and Pharmacodynamic Profiles of Single and Multiple Doses of Eplontersen Administered Subcutaneously to Healthy Volunteers and Patients With Hereditary Transthyretin-Mediated Amyloidosis (hATTR ).",Healthy Volunteers|hATTR Amyloidosis,Drug: ION-682884|Drug: Placebo|Dietary Supplement: Vitamin A,"Ionis Pharmaceuticals, Inc.",Phase 1|Phase 2,47,Industry,"December 21, 2018","February 20, 2020","February 20, 2020"
375,NCT03726658,AGN-241751 in the Treatment of Major Depressive Disorder,Major Depressive Disorder,Drug: AGN-241751|Drug: Placebo,"Gate Neurosciences, Inc",Phase 1|Phase 2,223,Industry,"November 8, 2018","October 23, 2019","October 23, 2019"
376,NCT03721718,"Evaluate the Safety, Tolerability and Immunogenicity Study of GLS-5300 in Healthy Volunteers",Healthy,Biological: GLS-5300|Device: Cellectra 2000 Electroporation,"GeneOne Life Science, Inc.|Inovio Pharmaceuticals|International Vaccine Institute",Phase 1|Phase 2,60,Industry|Other,"August 28, 2018","May 30, 2019","April 22, 2020"
377,NCT03720899,Comparing NicoBloc to Nicotine Lozenges,Smoking Cessation|Nicotine Dependence,Drug: NicoBloc|Drug: Nicotine Lozenge,University of Alabama at Birmingham,Phase 2|Phase 3,45,Other,"March 21, 2019","January 3, 2021","March 3, 2021"
378,NCT03720353,Pharmacological Intervention for Symptomatic Snoring,Snoring,Drug: SAS2094AH and SAS2094BH|Drug: SAS2094AL and SAS2094BL|Drug: Placebo,Brigham and Women's Hospital,Phase 1|Phase 2,27,Other,"December 17, 2018","December 10, 2019","December 10, 2019"
379,NCT03719586,Investigational Therapeutics for the Treatment of People With Ebola Virus Disease,Ebola Virus,Drug: ZMapp|Drug: Remdesivir|Drug: MAb114|Drug: REGN-EB3,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),Phase 2|Phase 3,681,NIH,"November 21, 2018","September 9, 2019","August 18, 2020"
380,NCT03711500,D-serine Augmentation of Neuroplasticity,Schizophrenia|Schizo Affective Disorder,Drug: D-serine|Drug: Placebo,New York State Psychiatric Institute|Nathan Kline Institute for Psychiatric Research,Phase 1|Phase 2,45,Other,"March 13, 2019","April 30, 2021","April 30, 2021"
381,NCT03707353,An Efficacy Study of IV Boosting With ChAd63/MVA ME-TRAP,Malaria,Biological: ChAd63 ME-TRAP and MVA ME-TRAP vaccination,University of Oxford,Phase 1|Phase 2,43,Other,"October 30, 2018","June 10, 2019","June 10, 2019"
382,NCT03701295,"Pinometostat and Azacitidine in Treating Patients With Relapsed, Refractory, or Newly Diagnosed Acute Myeloid Leukemia With 11q23 Rearrangement",Acute Myeloid Leukemia With t(9;11)(p21.3;q23.3); MLLT3-MLL|Leukemia Cutis|Recurrent Acute Myeloid Leukemia|Refractory Acute Myeloid Leukemia,Drug: Azacitidine|Drug: Pinometostat,National Cancer Institute (NCI),Phase 1|Phase 2,1,NIH,"January 16, 2019","December 8, 2020","January 12, 2021"
383,NCT03699839,Reducing the Burden of Influenza After Solid-Organ Transplantation,Influenza|Organ Transplantation,Biological: High-dose influenza vaccine|Biological: MF59-adjuvanted influenza vaccine|Biological: Standard intramuscular influenza vaccine,"Oriol Manuel|University Hospital, Basel, Switzerland|University of Bern|University Hospital, Geneva|University of Zurich|Cantonal Hospital of St. Gallen|Fondazione Epatocentro Ticino|Cantonal Hospital Chur|Hospitales Universitarios Virgen del Rocío|University of Lausanne Hospitals",Phase 2|Phase 3,619,Other,"October 26, 2018","August 15, 2020","August 15, 2020"
384,NCT03695757,Development of a New Immunotherapy Using Intramuscular Administration of Autologous Total IgG,Immunotherapy,Biological: Part A) Healthy subjects|Biological: Part B) Advanced solid tumor,Ajou University School of Medicine,Phase 1|Phase 2,24,Other,"November 6, 2018","January 26, 2021","March 24, 2021"
385,NCT03694444,A Study of the C3 Complement Inhibitor AMY-101 in Adults With Gingivitis,Gingivitis,Drug: AMY-101|Other: Water for injection,Amyndas Pharmaceuticals S.A.,Phase 1|Phase 2,39,Industry,"July 22, 2019","August 30, 2020","October 30, 2020"
386,NCT03691909,Phase 1/2a Clinical Trial to Assess the Safety of HB-adMSCs for the Treatment of Rheumatoid Arthritis,Rheumatoid Arthritis,Biological: HB-adMSCs,Hope Biosciences,Phase 1|Phase 2,15,Industry,"September 25, 2018","August 17, 2020","September 28, 2020"
387,NCT03691844,AMZ001 for the Treatment of Knee Osteoarthritis Symptoms,"Osteoarthritis, Knee",Drug: AMZ001|Drug: Placebo|Drug: Comparator,Amzell,Phase 2|Phase 3,444,Industry,"October 4, 2018","July 9, 2019","July 9, 2019"
388,NCT03691727,Induced Suppression of Platelets Activity in Aneurysmal SAH Management (iSPASM),"Subarachnoid Hemorrhage, Aneurysmal",Drug: tirofiban hydrochloride (AGGRASTAT®)|Diagnostic Test: MRI|Diagnostic Test: Neurological Exam|Behavioral: Questionnaires|Diagnostic Test: Vital Signs|Other: Standard of Care Treatment,David Hasan|University of Iowa,Phase 1|Phase 2,30,Other,"January 24, 2019","July 1, 2020","July 1, 2021"
389,NCT03684993,Caries Prevention and Side Effects of Gum Arabic and Licorice Extracts Versus Chlorhexidine in High Caries Risk Patients,High Caries Risk Patients|Caries|Antimicrobial Effect|Side Effect,"Drug: Arabic, Gum|Drug: Licorice Root|Drug: Chlorhexidine",Cairo University,Phase 2|Phase 3,63,Other,"December 10, 2019","January 15, 2020","January 15, 2020"
390,NCT03683667,Protein Plus: Improving Infant Growth Through Diet and Enteric Health,Stunting|Malnutrition; Protein|Enteric Pathogens|Campylobacter Infections,Drug: Azithromycin Oral Product|Drug: Placebos|Dietary Supplement: Protein Supplement|Dietary Supplement: Isocaloric Supplement|Dietary Supplement: Egg|Behavioral: Nutrition Education,"Johns Hopkins Bloomberg School of Public Health|International Centre for Diarrhoeal Disease Research, Bangladesh|Bill and Melinda Gates Foundation",Phase 2|Phase 3,5283,Other,"September 23, 2018","March 19, 2020","March 24, 2020"
391,NCT03681067,A Clinical Trial of Antibody GSK1070806 in the Treatment of Patients With Moderate to Severe Crohn's Disease,Crohn Disease,Drug: GSK1070806|Drug: Placebo- sodium chloride,University of Birmingham|GlaxoSmithKline|University Hospital Birmingham,Phase 1|Phase 2,5,Other|Industry,"February 20, 2019","June 2, 2020","June 2, 2020"
392,NCT03674970,Effects of Random Nicotine Delivery on Smoking Cessation,Smoking Cessation|Cigarette Smoking|Smoking (Tobacco) Addiction,Drug: Nicotine Film,Milton S. Hershey Medical Center|National Institute on Drug Abuse (NIDA),Phase 1|Phase 2,45,Other|NIH,"March 12, 2019","November 25, 2019","November 25, 2019"
393,NCT03673956,Topical Antibiotics in Chronic Rhinosinusitis,Chronic Rhinosinusitis (Diagnosis),Drug: Mupirocin|Drug: Tobramycin|Drug: Levofloxacin|Drug: Vancomycin,Mayo Clinic,Phase 1|Phase 2,19,Other,"September 26, 2018","February 1, 2021","February 1, 2021"
394,NCT03672240,Study of APL-1202 in Non-Muscle Invasive Bladder Cancer Patients Who Are Resistant to One Induction Course of BCG Treatment,Non-Muscle Invasive Bladder Cancer (NMIBC),Drug: APL-1202,"Asieris Pharmaceutical Technologies Co., Ltd.|AsierisPharma",Phase 1|Phase 2,6,Industry,"November 30, 2018","October 30, 2019","June 30, 2020"
395,NCT03672188,Study of VIR-2218 in Healthy Subjects and Patients With Chronic Hepatitis B,Chronic Hepatitis B,Drug: VIR-2218|Drug: Placebo,"Vir Biotechnology, Inc.|Alnylam Pharmaceuticals",Phase 1|Phase 2,82,Industry,"November 14, 2018","September 3, 2020","September 3, 2020"
