Rank,NCT Number,Title,Conditions,Interventions,Sponsor/Collaborators,Phases,Enrollment,Funded Bys,Start Date,Primary Completion Date,Completion Date
1532,NCT05351437,To Assess the Safety and Tolerability of MTx-COVAB36 as a Therapeutic and Prophylactic Treatment Against COVID-19.,SARS-CoV-2 Infection,Drug: MTx-COVAB36|Drug: Placebo,Memo Therapeutics AG,Phase 1,32,Industry,"April 26, 2022","September 4, 2022","November 2, 2022"
1533,NCT05351086,"A Study to Assess the Safety, Tolerability, and Pharmacokinetics of PUR3100 in Health Adults",Healthy,Drug: PUR3100|Drug: Dihydroergotamine (D.H.E 45)|Other: Matching Placebo for PUR3100|Other: Matching Placebo for D.H.E 45,Pulmatrix Inc.,Phase 1,26,Industry,"June 9, 2022","September 22, 2022","September 22, 2022"
1534,NCT05351021,Efficacy of Metformin as Preventive Treatment in Paclitaxel Induced Peripheral Neuropathy in Breast Cancer Patients,Peripheral Neuropathy|Breast Cancer,Drug: Metformin|Drug: Placebo,Mansoura University,Phase 2,76,Other,"April 12, 2022","October 30, 2022","October 30, 2022"
1535,NCT05349864,A Study to Understand the Effect of Low-Fat and High-Fat Meals on the Medicine Called PF-07284890 in Healthy Adults,Healthy Participants,Drug: PF-07284890 Treatment A|Drug: PF-07284890 Treatment B|Drug: PF-07284890 Treatment C,Pfizer,Phase 1,12,Industry,"April 22, 2022","September 16, 2022","September 16, 2022"
1536,NCT05349838,"An Open-Label, Multi-Centre, Randomised, Switch Study to Evaluate the Virological Efficacy Over 96 Weeks Of 2-Drug Therapy With DTG/RPV FDC in Antiretroviral Treatment-Experienced HIV-1 Infected Subjects Virologically Suppressed With NNRTIs Resistance Mutation K103N",HIV-1-infection,Drug: Dolutegravir & Rilpivirine 2 drug fixed dose combined therapy,NEAT ID Foundation|ViiV Healthcare,Phase 3,140,Other|Industry,"November 5, 2018","November 15, 2021","October 27, 2022"
1537,NCT05349669,Jafron Haemoadsorption During Cardiopulmonary Bypass,Cytokine Release Syndrome,Drug: Jafron use during CPB,Anthea Hospital Bari,Phase 2,40,Other,"May 30, 2022","September 15, 2022","September 15, 2022"
1538,NCT05349396,Bioavailability of Eszopiclone 3.0 mg With Regards to Reference Product,Bioequivalence,Drug: Eszopiclone 3mg Test Drug T-1 Coated Tablets|Drug: Eszopiclone 3mg Test Drug T-2 Coated Tablets|Drug: Eszopiclone 3mg Reference Product Coated Tablets,Laboratorios Andromaco S.A.,Phase 1,28,Industry,"April 11, 2022","April 19, 2022","April 19, 2022"
1539,NCT05349097,Study to Evaluate IMG-004 in Healthy Participants,Healthy Participants,Drug: IMG-004 or placebo,Inmagene Biopharmaceuticals,Phase 1,40,Industry,"August 8, 2022","January 10, 2023","January 10, 2023"
1540,NCT05348772,A First-In-Human Phase 1b Study of AmnioPul-02 in COVID-19 / Other LRTI,COVID-19,Drug: AmnioPul-02,Amniotics AB,Phase 1,6,Industry,"October 10, 2022","February 9, 2023","February 9, 2023"
1541,NCT05347979,Effect of Relacorilant on the Pharmacokinetics of the Sensitive P-glycoprotein Substrate Dabigatran Etexilate in Healthy Participants,Cushing Syndrome|Neoplasms,Drug: Dabigatran Etexilate|Drug: Relacorilant,Corcept Therapeutics,Phase 1,30,Industry,"May 25, 2022","July 19, 2022","July 19, 2022"
1542,NCT05347576,A Study to Evaluate the Pharmacokinetic Profiles and Safety of CKD-393(2) in Healthy Volunteers Under Fed Conditions,Type2Diabetes,"Drug: CKD-393(2)|Drug: CKD-501, D759, D150, D029",Chong Kun Dang Pharmaceutical,Phase 1,31,Industry,"April 21, 2022","May 2, 2022","May 9, 2022"
1543,NCT05347394,A Phase 1 Dose Escalation Study of Oral VX-708 in Healthy Participants,Acute Pain,Drug: VX-708|Drug: Placebo,Vertex Pharmaceuticals Incorporated,Phase 1,100,Industry,"April 8, 2022","April 14, 2023","April 14, 2023"
1544,NCT05347004,A Study in Healthy People to Test How BI 425809 is Taken up in the Body When Taken With or Without Food,Healthy,Drug: BI 425809,Boehringer Ingelheim,Phase 1,16,Industry,"October 25, 2022","December 28, 2022","December 28, 2022"
1545,NCT05346601,Trial of Chiauranib Capsule on Pharmacokinetics to Assess the Effect of High Fat Diet in Healthy Volunteers,Healthy Volunteers,Drug: Chiauranib,"Chipscreen Biosciences, Ltd.|H & J CRO International, Inc.",Phase 1,16,Industry,"June 2, 2022","June 28, 2022","June 28, 2022"
1546,NCT05346562,Oral Cannabidiol Effect on Blood Pressure in Hypertensive Patients,Hypertension,Dietary Supplement: Cannabidiol|Dietary Supplement: Placebo,"University of Split, School of Medicine|Lexaria Bioscience Corp|University of British Columbia|University of Colorado, Denver",Phase 1,70,Other,"April 8, 2022","October 5, 2022","October 5, 2022"
1547,NCT05345236,A Study to Compare QL1207 to Eylea® in Subjects With Wet Age-related Macular Degeneration (wAMD),Wet Age-related Macular Degeneration,Drug: Aflibercept,"Qilu Pharmaceutical Co., Ltd.",Phase 3,366,Industry,"August 19, 2019","January 25, 2022","January 25, 2022"
1548,NCT05344911,Comparison of Postoperative Pain Application of Alfentanil or Remifentanil in TIVA,Postoperative Pain,Drug: Propofol combined with alfentanil|Drug: Propofol combined with remifentanil,Xijing Hospital,Phase 4,130,Other,"April 29, 2022","July 20, 2022","August 30, 2022"
1549,NCT05344729,Clinical Trial for Effect of TQB3616 Capsule on Pharmacokinetics in Healthy Adult Subjects,Recurrent/Metastatic Breast Cancer,Drug: TQB3616 Capsule,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",Phase 1,16,Industry,"July 6, 2021","August 30, 2021","August 30, 2021"
1550,NCT05343819,Ascending Multiple Intravenous Doses of AON-D21 in Healthy Male Subjects.,Healthy,Drug: AON-D21|Drug: Placebo,Aptarion Biotech AG,Phase 1,16,Industry,"April 12, 2022","November 29, 2022","November 29, 2022"
1551,NCT05343780,Clinical Trial to Investigate the Anti-oxidant Activity of Heptex in Patients With Apparent Risk Factors of NASH,Nonalcoholic Steatohepatitis,Drug: Heptex|Other: Rice bran,Natural Wellness Egypt|Ain Shams University|National Hepatology & Tropical Medicine Research Institute,Phase 2,142,Industry|Other,"May 8, 2019","February 21, 2022","February 21, 2022"
1552,NCT05343442,Percutaneous Tracheostomy,Tracheostomy,Procedure: Percutaneous tracheostomy,Alexandria University,Phase 4,386,Other,"December 19, 2021","March 15, 2022","March 15, 2022"
1553,NCT05343078,Pharmacokinetics and Dialyzability of Dapagliflozin in Dialysis Patients,End-stage Renal Disease,Drug: Dapagliflozin 10Mg Tab,"University of Campinas, Brazil",Phase 4,5,Other,"April 25, 2022","September 1, 2022","October 1, 2022"
1554,NCT05342818,Evaluating Neostigmine Effect on Reducing Gastric Residual Volume as Compared With Metoclopramide and Ondansetron,Delayed Gastric Emptying,Drug: Neostigmine|Drug: Ondansetron 8mg|Drug: Metoclopramide Injection|Other: Enteral feeding nutrition|Other: Sequential Organ Failure Assessment (SOFA) score,Tanta University,Phase 2,90,Other,"April 15, 2022","July 30, 2022","October 17, 2022"
1555,NCT05342727,Transcranial Direct and Alternating Stimulation of the Prefrontal Cortex for Cognitive Improvement in Schizophrenia,Schizophrenia|Cognitive Dysfunction,Device: transcranial direct current stimulation (tDCS)|Device: transcranial alternating current stimulation (tACS),The National Brain Mapping Laboratory (NBML)|Ardabil University of Medical Sciences|Leibniz-Institut für Arbeitsforschung,Phase 1,50,Other,"April 1, 2021","July 15, 2022","July 31, 2022"
1556,NCT05342532,High Dose Dual Therapy vs Clarithromycin Triple Therapy for Treatment Naive H Pylori Infection in an Urban Population,Helicobacter Pylori Infection,Drug: Amoxicillin|Drug: Omeprazole|Drug: Clarithromycin,Icahn School of Medicine at Mount Sinai,Phase 4,112,Other,"June 12, 2019","January 1, 2022","January 1, 2022"
1557,NCT05341843,Sertraline Effect in Uremic Pruritis,Uremic Pruritis,Drug: sertraline|Drug: placebo,Alexandria University,Phase 2,60,Other,"May 1, 2022","September 1, 2022","October 1, 2022"
1558,NCT05341609,Efficacy and Safety of JT001 (VV116) Compared With Paxlovid,COVID-19,Drug: JT001|Drug: Paxlovid,Vigonvita Life Sciences,Phase 3,822,Industry,"April 4, 2022","May 13, 2022","May 31, 2022"
1559,NCT05341323,Peri Tonsillar Infiltration of Ketamine or Bupivacaine for Post Tonsillectomy Analgesia,Post Operative Pain,Drug: Ketamine.|Drug: Bupivacaine,Sohag University,Phase 4,80,Other,"April 2, 2022","July 2, 2022","July 2, 2022"
1560,NCT05341089,A Study of Two Different Formulations of LY3502970 in Healthy Participants,Healthy,Drug: LY3502970,Eli Lilly and Company,Phase 1,39,Industry,"May 17, 2022","September 1, 2022","September 1, 2022"
1561,NCT05340634,Evaluation of Metionac for the Modulation of Metabolic and Endocrine Parameters in Patients With PCOS.,Polycystic Ovary Syndrome,Dietary Supplement: Metionac|Drug: Oral contraceptive,Margan Biotech|Grupo CINUSA (Centros de Investigación en Nutrición y Salud S.L.),Phase 4,90,Industry|Other,"April 20, 2020","February 2, 2022","February 2, 2022"
1562,NCT05340335,ED90 of Remimazolam Loading Dose for Sedation in Patients Under Monitored Anesthetic Care,Remimazolam|Orthopedic Procedures|Sedatives,Drug: Remimazolam,Asan Medical Center,Phase 4,50,Other,"April 18, 2022","May 2, 2022","May 2, 2022"
1563,NCT05340205,Blood Loss During Cesarean Delivery in Placenta Previa Patients,Placenta Previa,Drug: Tranexamic acid|Drug: Misoprostol|Drug: Oxytocin,Cairo University,Phase 4,81,Other,"May 4, 2022","December 15, 2022","January 5, 2023"
1564,NCT05340010,Administration of Human Chorionic Gonadotrophin Before Secretory Transformation of Frozen-thawed Embryo Transfer Cycles,hCG|FET|Frozen-thawed Embryo Transfe|Human Chorionic Gonadotrophin,Drug: Human Chorionic Gonadotrophin Intramuscular injection 10.000 IU,Alexandria University,Phase 4,180,Other,"January 1, 2020","June 20, 2022","July 30, 2022"
1565,NCT05339633,Study in Healthy Adult Female Subjects,Mass Balance Recovery,Drug: [14C]-D-0502,"InventisBio Co., Ltd",Phase 1,8,Industry,"March 29, 2022","August 2, 2022","October 31, 2022"
1566,NCT05339334,A Study to Learn About the Study Medicine PF-07321332 and Ritonavir in Adult Healthy Chinese Participants.,Healthy Participants,Drug: PF-07321332/ritonavir,Pfizer,Phase 1,14,Industry,"March 10, 2022","April 21, 2022","April 21, 2022"
1567,NCT05339100,Accessorized Pre-Filled Syringe to Autoinjector Pharmacokinetic Bridging Study in Anifrolumab,Healthy Participants Study,Drug: Anifrolumab|Device: Autoinjector|Device: Accessorized Pre-Filled Syringe,AstraZeneca|Parexel,Phase 1,180,Industry,"March 22, 2022","April 13, 2023","April 13, 2023"
1568,NCT05338099,Determine the Safety and Dose of EN001 in Patients With Duchenne Muscular Dystrophy(DMD),Duchenne Muscular Dystrophy,Drug: EN001,ENCell,Phase 1,7,Industry,"January 18, 2022","December 28, 2022","December 28, 2022"
1569,NCT05338047,Efficacy of Generic Pegfilgrastim vs Brand Name Pegfilrastim for Neutrophil Recovery After Autotransplant,Myeloma Multiple|Lymphoma,Drug: Pegfilgrastim,Hospital Universitario Dr. Jose E. Gonzalez,Phase 2,30,Other,"April 1, 2022","February 25, 2023","February 25, 2023"
1570,NCT05337592,A Study in Healthy Men to Test How Different Doses of BI 1815368 Are Tolerated and How BI 1815368 is Taken up in the Body With or Without Food,Healthy,Drug: BI 1815368 formulation 1|Drug: Placebo|Drug: BI 1815368 formulation 2,Boehringer Ingelheim,Phase 1,72,Industry,"June 14, 2022","October 18, 2022","October 18, 2022"
1571,NCT05337345,A Study to Evaluate the Drug Levels of Cendakimab Delivered Subcutaneously in Healthy Participants,Healthy Volunteers,Drug: Cendakimab,Bristol-Myers Squibb,Phase 1,104,Industry,"May 2, 2022","December 15, 2022","December 15, 2022"
1572,NCT05337254,"A Study of the PK and Safety of Single Doses of STS101, DHE Injection and Nasal Spray in Healthy Subjects",Migraine|Migraine With Aura|Migraine Without Aura,Drug: Dihydroergotamine,"Satsuma Pharmaceuticals, Inc.",Phase 1,36,Industry,"March 5, 2021","June 4, 2021","June 4, 2021"
1573,NCT05337228,Clinical Trial to Evaluate the Safety and Efficacy of IN-C006 Peri Inj. Compared With RPN301,Parenteral Nutrition,Drug: IN-C006 Peri inj.|Drug: RPN301,HK inno.N Corporation,Phase 3,59,Industry,"August 9, 2022","February 10, 2023","February 24, 2023"
1574,NCT05336279,Bioequivalence Study of Famitinib Malate in Healthy Volunteers Under Fasting Condition,Solid Tumor,Drug: famitinib malate T(5 mg*4)、famitinib malate R(20 mg),"Jiangsu HengRui Medicine Co., Ltd.",Phase 1,28,Industry,"May 11, 2022","May 27, 2022","June 20, 2022"
1575,NCT05335447,Evaluation of Mass Balance and Absolute Bioavailability of GLPG3667,Healthy,Drug: GLPG3667 capsule|Drug: [14C]-GLPG3667 solution for infusion|Drug: [14C]-GLPG3667 capsule,Galapagos NV,Phase 1,5,Industry,"April 19, 2022","June 3, 2022","June 3, 2022"
1576,NCT05335005,MK-2060 and Clopidogrel Co-administration Safety and Tolerability Study in Participants With End-Stage Renal Disease (ESRD) (MK-2060-008),"End-Stage Renal Disease|Kidney Failure, Chronic",Drug: MK-2060,Merck Sharp & Dohme LLC,Phase 1,12,Industry,"May 30, 2022","February 14, 2023","February 14, 2023"
1577,NCT05334108,Drug-Drug Interaction Study to Evaluate the Effects of Ecopipam on the Pharmacokinetics of Multiple Substrates for Drug Metabolism and Transport,Drug Interaction,Drug: Ecopipam|Combination Product: Cohort 1 Probe Substrate Cocktail|Drug: Cohort 2 Probe Substrate|Combination Product: Cohort 3 Probe Substrate Cocktail,Emalex Biosciences Inc.|ICON Early Phase Services|Nuventra,Phase 1,56,Industry|Other,"April 26, 2022","August 1, 2022","August 26, 2022"
1578,NCT05334017,Xylometazoline and Cocaine for Nasal Vasoconstriction,Epistaxis,"Drug: Xylometazoline 0,1%|Drug: Cocaine 4%","Rigshospitalet, Denmark",Phase 4,120,Other,"September 8, 2022","March 21, 2023","March 22, 2023"
1579,NCT05333406,Determine the Safety and Dose of EN001 in Patients With Charcot-Marie-Tooth Disease (CMT) Type 1A,"Charcot-Marie-Tooth Disease, Type IA",Drug: EN001,ENCell,Phase 1,9,Industry,"February 22, 2022","December 20, 2022","December 20, 2022"
1580,NCT05333107,A Research Study Looking at New Protein-based Tablets in Healthy Men - Oral Formulation II,Healthy Volunteers; High Cholesterol,Drug: NNC0385-0434 G|Drug: NNC0385-0434 F|Drug: NNC0385-0434 B,Novo Nordisk A/S,Phase 1,152,Industry,"April 12, 2022","July 22, 2022","September 28, 2022"
1581,NCT05332340,"Safety, Tolerability and Pharmacokinetics (PK) Evaluation of BZ371A, Topically Administered",Erectile Dysfunction Following Radical Prostatectomy|Erectile Dysfunction|Prostate Cancer|Radical Prostatectomy,Drug: BZ371A,Biozeus Biopharmaceutical S.A.|Azidus Brasil Scientific Research and Development Ltda,Phase 1,12,Industry|Other,"November 16, 2022","November 30, 2022","November 30, 2022"
1582,NCT05332106,Bioavailability of Estradiol Valerate and Dienogest 2 mg/2 mg With Regards to Reference Product,Bioequivalence,Drug: Estradiol Valerate and Dienogest 2 mg/ 2 mg Test Drug tablet|Drug: Estradiol Valerate and Dienogest 2 mg/ 2 mg Reference Product tablet,Laboratorios Andromaco S.A.,Phase 1,10,Industry,"March 12, 2022","March 22, 2022","March 22, 2022"
1583,NCT05330858,Relative Bioavailability of ESK-001 Tablet Versus Liquid in Healthy Participants,Pharmacokinetics,Drug: ESK-001|Drug: Rabeprazole,Alumis Inc,Phase 1,14,Industry,"March 17, 2022","June 30, 2022","September 20, 2022"
1584,NCT05330650,Evaluation of Triclosan Coated Suture in Obstetrical Surgery,Cesarean Section; Infection,Drug: Coated Vicryl+|Drug: Vicryl,Tunis University,Phase 4,318,Other,"November 1, 2020","May 31, 2021","June 30, 2021"
1585,NCT05330286,"Study to Compare the Pharmacokinetics, Safety and Tolerability of the Pediatric and Adult Branaplam Formulation in Healthy Adults and the Effect of Food on the Latter.",Healthy Volunteers,Drug: LMI070,Novartis Pharmaceuticals|Novartis,Phase 1,9,Industry,"April 13, 2022","August 19, 2022","August 19, 2022"
1586,NCT05330273,Drug-drug Interaction Study of Ganaplacide and Lumefantrine With Efavirenz,Malaria,Drug: Ganaplacide|Combination Product: Lumefantrine|Drug: Efavirenz,Novartis Pharmaceuticals|Medicines for Malaria Venture|Novartis,Phase 1,14,Industry|Other,"April 28, 2022","November 22, 2022","November 22, 2022"
1587,NCT05329259,A Study to Describe the Safety of a Vaccine (Called 13vPnC) in Healthy People 18 to 49 Years of Age in India,Pneumococcal Disease,Biological: 13-valent pneumococcal conjugate vaccine,Pfizer,Phase 4,200,Industry,"October 6, 2022","November 30, 2022","November 30, 2022"
1588,NCT05328726,"Single, Ascending Dose, First Time in Human Study for GZR18 in Healthy Subjects","Diabetes Mellitus, Type 2",Drug: GZR-18|Other: Placebo,"Gan and Lee Pharmaceuticals, USA",Phase 1,24,Industry,"March 8, 2022","February 9, 2023","March 9, 2023"
1589,NCT05327491,A Study in Healthy Volunteers to Compare the Pharmacokinetics of Sotorasib Administered as 1 or 2 Tablets,Healthy Participants,Drug: Sotorasib,Amgen,Phase 1,146,Industry,"April 18, 2022","July 17, 2022","July 17, 2022"
1590,NCT05327231,IN10018 Monotherapy or in Combination With Docetaxel in Gastric or GEJ Adenocarcinoma,Gastric Cancer,Drug: IN10018|Drug: Docetaxel,"InxMed (Shanghai) Co., Ltd.",Phase 1,33,Industry,"July 9, 2020","December 3, 2021","March 31, 2022"
1591,NCT05327088,Epidural Dexmedetomidine vs Nalbuphine for Labor Analgesia,Epidural Anesthesia|Labor Pain,Drug: Dexmedetomidine|Drug: Nalbuphine,Ain Shams University,Phase 2,64,Other,"September 12, 2021","February 12, 2022","March 12, 2022"
1592,NCT05326841,Effect of Cholecalciferol Supplementation on Disease Activity and Quality of Life of Systemic Lupus Erythematosus Patients .,"Lupus Erythematosus, Systemic|Cholecalciferol Supplementation|Disease Activity|Quality of Life",Drug: Vitamin D3,Dr Cipto Mangunkusumo General Hospital,Phase 3,60,Other,"October 3, 2021","January 11, 2022","January 11, 2022"
1593,NCT05326360,Ramosetron on Late PONV (Postoperative Nausea and Vomiting),Postoperative Nausea and Vomiting|Breast Cancer Female,Drug: Ramosetron Hydrochloride,Pusan National University Hospital,Phase 4,144,Other,"December 17, 2020","October 31, 2021","October 31, 2021"
1594,NCT05326139,Topical Tranexamic Acid Application in Rhinoplasty,Ecchymosis; Eyelid|Edema|Rhinoplasty,Drug: Tranexamic acid|Other: Isotonic saline,Baskent University,Phase 4,50,Other,"June 7, 2021","September 17, 2021","October 15, 2021"
1595,NCT05325853,A Study of Safety and the Local Anesthetic Effect of AG-920 Ophthalmic Solution in a Pediatric Population,"Anesthesia, Local",Drug: AG-920|Drug: Proparacaine Ophthalmic,"American Genomics, LLC",Phase 3,61,Industry,"April 6, 2022","May 27, 2022","May 27, 2022"
1596,NCT05325515,The Effect of Effervescent Alendronate on Bone Turnover,Osteopenia or Osteoporosis,Drug: Conventional alendronate|Drug: Effervescent and buffered alendronate,Aarhus University Hospital,Phase 4,64,Other,"October 1, 2021","September 1, 2022","December 1, 2022"
1597,NCT05325346,A Phase I Study of the Co-administration of VLX-1005 and Argatroban in Healthy Human Subjects,Heparin-induced Thrombocytopenia,Drug: VLX-1005|Drug: Argatroban,Veralox Therapeutics|Celerion,Phase 1,12,Industry,"March 7, 2022","April 1, 2022","April 14, 2022"
1598,NCT05324995,Peri-Articular-Multimodal Drug and Oral Celecoxib in Management of Postoperative Pain of Total Knee Arthroplasty,Postoperative Pain|Total Knee Arthroplasty,Drug: Multimodal Drug|Drug: epinephrine|Drug: celecoxib,Isfahan University of Medical Sciences,Phase 2,146,Other,"January 1, 2021","February 1, 2022","March 1, 2022"
1599,NCT05324761,Management of Pain Associated With Failed Back Surgery Syndrome,Failed Back Surgery Syndrome,Drug: Pregabalin 75mg|Drug: Gabapentin 300mg,Al-Kindy College of Medicine,Phase 4,60,Other,"April 25, 2022","June 30, 2022","June 30, 2022"
1600,NCT05324592,Safety and Efficacy of 9MW0813 in Subjects With Diabetic Macular Edema,Diabetic Macular Edema,Drug: 9MW0813|Drug: Aflibercept,"Mabwell (Shanghai) Bioscience Co., Ltd.",Phase 1,24,Industry,"February 26, 2021","September 24, 2021","January 25, 2022"
1601,NCT05324410,A Phase 1 Dose Escalation Study to Evaluate Safety and Pharmacokinetics (PK) of VX-840 in Healthy Participants,APOL1-mediated Kidney Disease,Drug: VX-840|Drug: Placebo,Vertex Pharmaceuticals Incorporated,Phase 1,88,Industry,"April 7, 2022","November 7, 2022","November 7, 2022"
1602,NCT05324163,Evaluate Efficacy and Safety of X0002 in Treatment of Knee Osteoarthritis,KNEE OSTEOARTHRITIS,Drug: X0002 Spray|Drug: Celecoxib capsules|Drug: placebo,"Jiangsu XinChen-Techfields Pharma Co., LTD.",Phase 3,180,Industry,"September 29, 2021","February 6, 2023","February 6, 2023"
1603,NCT05324124,A Study of the Effect of Food on Selpercatinib (LY3527723) in Healthy Participants,Healthy,Drug: Selpercatinib,"Loxo Oncology, Inc.|Eli Lilly and Company",Phase 1,46,Industry,"April 19, 2022","June 22, 2022","June 22, 2022"
1604,NCT05323435,Immunogenicity and Safety Study of Recombinant Two-Component COVID-19 Vaccine (CHO Cell)(ReCOV),COVID-19,"Biological: Recombinant two-component COVID-19 vaccine (CHO cell)|Biological: COVID-19 Vaccine (Vero Cell), Inactivated","Jiangsu Rec-Biotechnology Co., Ltd.",Phase 2,300,Industry,"May 30, 2022","July 5, 2022","January 16, 2023"
1605,NCT05322447,High-dose L-Carnitine and Diaphragmatic Function Assessed by Ultrasonography in Patients With Respiratory Failure.,Respiratory Failure,Drug: L Carnitine ( low dose)|Drug: L-Carnitine ( high dose),Ain Shams University,Phase 4,60,Other,"April 15, 2022","August 4, 2022","October 1, 2022"
1606,NCT05322148,Cyclosporine 0.1% / Loteprednol 0.2% Effect on Anterior Segment Normalization,Dry Eye,"Drug: Klarity CL, Cylcosporine 0.1%/Loteprednol Etabonate 0.2% Preservative Free",Research Insight LLC,Phase 3,59,Industry,"June 3, 2022","November 17, 2022","November 21, 2022"
1607,NCT05320861,Single Dose ADME Study of [14C]SJP-0008 in Healthy Male Subjects,Healthy Volunteers,Drug: [14C]SJP-0008,"Senju Pharmaceutical Co., Ltd.|Quotient Sciences",Phase 1,6,Industry,"September 24, 2021","November 2, 2021","November 2, 2021"
1608,NCT05320302,A Brain Imaging PET Study of [11C]-Lu AF88370 in Healthy Adult Male Participants,Healthy Participants,Drug: [11C]-Lu AF88370,H. Lundbeck A/S,Phase 1,6,Industry,"March 31, 2022","June 15, 2022","June 20, 2022"
1609,NCT05320094,A Study to Evaluate the Effect of Activated Charcoal With Sorbitol on the Single-dose of Mavacamten in Healthy Participants,Healthy Participants,Drug: Mavacamten|Drug: Activated Charcoal with Sorbitol,Bristol-Myers Squibb,Phase 1,45,Industry,"April 15, 2022","September 11, 2022","September 11, 2022"
1610,NCT05319756,"Study Evaluating the Abuse Potential of NEURONTIN® in Healthy Non-drug Dependent, Recreational Opioid Users",Abuse Potential,Drug: gabapentin 600 mg|Drug: gabapentin 1200 mg|Drug: gabapentin 600 mg and oxycodone HCl 20 mg|Drug: gabapentin 1200 mg and oxycodone HCl 20 mg|Drug: oxycodone HCl 20 mg|Drug: placebo,Viatris Specialty LLC|Viatris Inc.,Phase 4,54,Industry,"April 30, 2021","December 31, 2021","December 31, 2021"
1611,NCT05319275,Study of Acetyllevocarnitine Hydrochloride Tablets in Chinese Patients With Paresthesias Caused by DPN,Diabetic Peripheral Neuropathy (DPN)|Paresthesia,Drug: Acetyllevocarnitine Hydrochloride Tablets|Drug: Placebo,"Haisco Pharmaceutical Group Co., Ltd.",Phase 3,516,Industry,"July 23, 2020","December 7, 2021","January 25, 2022"
1612,NCT05318846,A Study to Evaluate the Efficacy and Safety of HRS4800 Tablets for Postoperative Analgesia After Impacted Teeth Removal Surgery.,Pain,Drug: HRS4800 tablets|Drug: Placebo tablets,"Jiangsu HengRui Medicine Co., Ltd.",Phase 2,38,Industry,"January 14, 2022","February 28, 2022","March 22, 2022"
1613,NCT05318040,"Safety, Tolerability and Pharmacokinetics of CMS121, a Drug Candidate for Alzheimer's Disease, in Healthy Subjects",Alzheimer Disease,Drug: CMS121|Drug: Placebo,"Virogenics, Inc.|National Institute on Aging (NIA)|Celerion",Phase 1,99,Industry|NIH,"May 1, 2022","December 17, 2022","December 17, 2022"
1614,NCT05317741,SAD Study of IA-14069,Healthy,Drug: IA-14069|Drug: Placebo,"ILAb Co., Ltd.",Phase 1,40,Industry,"August 23, 2021","September 8, 2022","September 8, 2022"
1615,NCT05317312,Study of MR-107A-02 in the Treatment of Post Surgical Dental Pain.,Acute Pain|Post Operative Pain|Pain,Drug: MR-107A-02|Drug: Placebo,"Mylan Specialty, LP|Viatris Inc.",Phase 2,111,Industry,"March 31, 2022","June 15, 2022","June 20, 2022"
1616,NCT05316857,DDI Study of Orelabrutinib,Healthy Person,Drug: Orelabrutinib + Rifampin|Drug: Orelabrutinib + Itraconazole,"Beijing InnoCare Pharma Tech Co., Ltd.",Phase 1,36,Industry,"December 16, 2021","January 4, 2022","June 13, 2022"
1617,NCT05316831,Immune Response After Pneumococcal Vaccination in Patient With Chronic Lymphocytic Leukemia,CLL|Vaccine Response,Biological: PCV13|Biological: PPSV23,Region Örebro County,Phase 4,77,Other,"January 1, 2019","June 30, 2021","October 1, 2022"
1618,NCT05316428,A Study of the Hemodynamic Interactions of TPN171H Tablets & Alcohol in Healthy Male Subjects,Alcohol|Phosphodiesterase Inhibitor|Erectile Dysfunction,Drug: TPN171H tablet plus alcohol|Other: alcohol|Drug: TPN171H tablet,Vigonvita Life Sciences,Phase 1,19,Industry,"February 24, 2022","April 2, 2022","April 6, 2022"
1619,NCT05316259,A Food-Effect Study of BPI-16350 in Healthy Subjects,Healthy,Drug: BPI-16350,"Betta Pharmaceuticals Co., Ltd.",Phase 1,24,Industry,"April 15, 2022","August 30, 2022","August 30, 2022"
1620,NCT05315947,A Study to Assess the Bioequivalence Between Brivaracetam Tablet and Dry Syrup in Healthy Male Japanese Study Participants,Healthy Study Participants,Drug: brivaracetam,UCB Biopharma SRL|UCB Pharma,Phase 1,24,Industry,"April 4, 2022","May 13, 2022","May 13, 2022"
1621,NCT05315128,Intralesional Versus Intramuscular Methotrexate for Non-melanoma Skin Cancers,Non-melanoma Skin Cancers,Drug: Methotrexate,Zagazig University,Phase 2,60,Other,"July 6, 2020","August 10, 2021","December 6, 2021"
1622,NCT05314660,Arresting Active Dentine Lesions and Quality of Life Among a Group of Preschool Children,Caries Arrest,Drug: 38 % silver diamine fluoride|Procedure: Atraumatic restorative technique|Procedure: Ultra conservative dentistry,Mansoura University,Phase 4,135,Other,"January 15, 2020","January 15, 2022","March 15, 2022"
1623,NCT05314621,A Study Comparing the Efficacy of Pataday® Once Daily Relief Extra Strength to Flonase® Allergy Relief in Subjects With Allergic Conjunctivitis,Allergic Conjunctivitis,Drug: olopatadine hydrochloride ophthalmic solution 0.7%)|Drug: Fluticasone Propionate|Drug: Tears Naturale|Drug: Saline nasal spray,Andover Research Eye Institute,Phase 4,61,Industry,"December 31, 2021","July 24, 2022","July 24, 2022"
1624,NCT05314439,"A Study to Assess the Safety, Tolerability, and Efficacy of Monthly Subcutaneous Administration of ION904 in Participants With Uncontrolled Hypertension",Hypertension,Drug: ION904|Drug: Placebo,"Ionis Pharmaceuticals, Inc.",Phase 2,48,Industry,"April 26, 2022","January 31, 2023","February 15, 2023"
